"Expression & Usage","Chinese Sense","Collocations / Patterns / Examples","Type","Notes"
"an uphill battle（比喻“艰难持久战”）","艰苦战斗","be an uphill battle；Making changes to someone's routine life is an uphill battle.","Problem & Solution,Experience & Insight",""
"take the initiative（固定搭配）","积极主动","take the initiative to do sth；We should take the initiative and be determined to make a difference.","Problem & Solution,Experience & Insight",""
"wallow in（自怜自哀）","沉湎于","wallow in self-pity；If he fails, he might wallow in self-pity, never to bounce back.","Problem & Solution,Phenomenon & Attitude",""
"dwell on（纠结于过去）","沉湎于","dwell on dreams / the past；Instead of dwelling on past failures, we should learn from them and move on.","Problem & Solution,Phenomenon & Attitude","例句为补充示例"
"bounce back（弹性恢复）","恢复","bounce back from adversity；After failing the exam, she bounced back with even greater determination.","Experience & Insight,Problem & Solution",""
"recover（中性）","恢复","recover from；It took her a whole term to recover from the shock of failure.","Experience & Insight,Problem & Solution","例句为补充示例"
"rally（团队/士气）","恢复","rally the team；rally support；A few encouraging words rallied the whole team before the final match.","Experience & Insight,Problem & Solution","例句为补充示例"
"broaden horizons（最常用）","开阔视野","broaden one's horizons by doing；Reading expands our scope of knowledge and broadens horizons.","Quote & Enlightenment,Experience & Insight",""
"expand scope of knowledge（侧重知识）","开阔视野","expand one's scope of knowledge；Reading expands our scope of knowledge and broadens horizons.","Quote & Enlightenment,Experience & Insight",""
"like-minded people（固定）","志同道合者","appreciate ... with like-minded people；The most wonderful thing is to appreciate the same book with those like-minded people.","Quote & Enlightenment,Experience & Insight",""
"correspond with（较正式）","一致","correspond with the gist / principle / standard；The picture corresponds with the gist of the festival.","Comic & Moral,Compare & Comparison","常与 gist 条组合成搭配链"
"be in line with（通用）","一致","be in line with the principle / standard；Our new study plan is in line with the school's overall arrangement.","Comic & Moral,Compare & Comparison","例句为补充示例"
"break away from（固定，侧重脱离）","打破旧习","break away from old lifestyles / comfort zone；Changes mean completely breaking away from the old lifestyles we have been accustomed to.","Problem & Solution,Phenomenon & Attitude","常与 step out of one's comfort zone 搭配使用，同属“改变/突破”语义场"
"throw ... to the winds（形象化表达）","抛到九霄云外","throw complaints / fear / doubt to the winds；Throwing all complaints to the winds, we will make our first step.","Quote & Enlightenment,Experience & Insight",""
"spark one's inspiration（常用）","激发灵感","spark inspiration；Sharing ideas will spark your inspiration.","Quote & Enlightenment,Phenomenon & Attitude","与 ignite 同属“激发”语义场，可对比替换"
"ignite creativity","激发灵感","ignite creativity；Travelling to unfamiliar places ignites creativity in ways that textbooks never can.","Quote & Enlightenment,Phenomenon & Attitude","例句为补充示例"
"inject confidence into（形象）","使自信","inject confidence into sb；Toughening our willpower injects confidence into us.","Quote & Enlightenment,Experience & Insight",""
"step out of one's comfort zone（固定）","走出舒适区","be reluctant to step out of one's comfort zone；The pessimist is reluctant to step out of his comfort zone.","Problem & Solution,Phenomenon & Attitude",""
"aftermath（负面，多指灾后）","后果","the aftermath of；The aftermath of idling away our golden time is severe.","Problem & Solution,Phenomenon & Attitude",""
"consequence（中性）","后果","the consequence of；as a consequence；One consequence of skipping breakfast is a drop in concentration.","Problem & Solution,Phenomenon & Attitude","例句为补充示例"
"idle away（虚度时光）","挥霍","idle away time / opportunities；Idling away youth leads to regret.","Problem & Solution,Phenomenon & Attitude","与 aftermath 可组成固定论证线：idle away → the aftermath"
"awake sb to（较正式）","意识到","awake sb to the preciousness / danger of；The contrast awakes us to the preciousness of youth.","Quote & Enlightenment,Experience & Insight,Phenomenon & Attitude",""
"make sb realize（通用）","意识到","make sb realize that；The failure made him realize that talent alone is never enough.","Quote & Enlightenment,Experience & Insight,Phenomenon & Attitude","例句为补充示例"
"alert sb to（警告）","意识到","alert sb to the danger / risk of；The report alerts us to the risks of excessive screen time.","Quote & Enlightenment,Experience & Insight,Phenomenon & Attitude","例句为补充示例"
"detrimental（正式）","有害","be detrimental to；Lack of exercise is detrimental to your health.","Problem & Solution,Data & Chart",""
"harmful（通用）","有害","be harmful to；Excessive use of phones is harmful to teenagers' eyesight and sleep.","Problem & Solution,Data & Chart","例句为补充示例"
"damaging（强调破坏性）","有害","be damaging to；Constant criticism can be damaging to a child's confidence.","Problem & Solution,Data & Chart","例句为补充示例"
"advantage（最通用，指有利条件）","优势","have an advantage over；take advantage of；Digital literacy gives students a clear advantage in job hunting.","Compare & Comparison,Data & Chart,Problem & Solution","优势/劣势为对比类写作核心语义场，可与劣势组各条配对使用"
"edge（微弱优势，常用于竞争）","优势","gain a slight edge over；Our team gained a slight edge over the opponents in the final minutes.","Compare & Comparison,Data & Chart,Problem & Solution",""
"asset（宝贵资源/优势）","优势","be an asset to；Critical thinking is an asset in any profession.","Compare & Comparison,Data & Chart,Problem & Solution",""
"superiority（优越性，强调比他人强）","优势","superiority in；the superiority of；The company's superiority in innovation ensures its market lead.","Compare & Comparison,Data & Chart,Problem & Solution",""
"dominance（主导地位，统治性优势）","优势","economic dominance / market dominance；Economic dominance does not always guarantee cultural influence.","Compare & Comparison,Data & Chart,Problem & Solution",""
"benefit（实际好处，可指物质或精神）","优势","benefit from；benefit sb；Reading classics benefits our mental growth.","Compare & Comparison,Data & Chart,Problem & Solution",""
"profit（多指经济收益，也泛指好处）","优势","profit from；We can profit from past mistakes if we reflect on them.","Compare & Comparison,Data & Chart,Problem & Solution",""
"merits（内在优点、价值，常用复数）","优势","the merits of；The merits of a balanced diet are well documented.","Compare & Comparison,Data & Chart,Problem & Solution",""
"upper hand（上风，控制局面）","优势","gain the upper hand；After the first round, our side gained the upper hand.","Compare & Comparison,Data & Chart,Problem & Solution",""
"demerit（扣分点）","劣势","the demerits of；A fair review should weigh the merits and demerits of the plan.","Compare & Comparison,Data & Chart,Problem & Solution","例句为补充示例"
"shortcoming（能力性格欠缺）","劣势","one's shortcoming in；His shortcoming in communication often hinders teamwork.","Compare & Comparison,Data & Chart,Problem & Solution",""
"weakness（弱点）","劣势","a weakness in；Every plan has its weakness, and admitting it is the first step to improving it.","Compare & Comparison,Data & Chart,Problem & Solution","例句为补充示例"
"flaw（逻辑/结构缺陷）","劣势","the flaw in；a fatal flaw；The flaw in this theory lies in its assumption of perfect rationality.","Compare & Comparison,Data & Chart,Problem & Solution",""
"defect（物理/系统故障）","劣势","physical defects；a defect in；Physical defects should not prevent one from pursuing a career.","Compare & Comparison,Data & Chart,Problem & Solution",""
"blemish（小瑕疵）","劣势","a blemish on；One careless mistake was the only blemish on an otherwise perfect record.","Compare & Comparison,Data & Chart,Problem & Solution","例句为补充示例"
"drawback（方案缺点）","劣势","the main drawback of；The main drawback of online learning is the lack of face-to-face interaction.","Compare & Comparison,Data & Chart,Problem & Solution",""
"downside（负面一面）","劣势","the downside of；Every coin has its downside; remote work saves time but causes isolation.","Compare & Comparison,Data & Chart,Problem & Solution",""
"disadvantage（最通用）","劣势","the disadvantage of；put sb at a disadvantage；Students without internet access are put at a clear disadvantage.","Compare & Comparison,Data & Chart,Problem & Solution","例句为补充示例"
"inconvenience（不便之处）","劣势","cause inconvenience to sb；the inconvenience of；The new rule may cause inconvenience to commuters during rush hours.","Compare & Comparison,Data & Chart,Problem & Solution","例句为补充示例"
"limitation（局限性）","劣势","overcome limitations；a major limitation on；Lack of funding is a major limitation on our research.","Compare & Comparison,Data & Chart,Problem & Solution",""
"handicap（阻碍性劣势）","劣势","be a handicap for；Poor eyesight can be a handicap for pilots (也可作动词: Poor eyesight handicaps pilots).","Compare & Comparison,Data & Chart,Problem & Solution",""
"liability（累赘，带来负担）","劣势","be a liability to；Inexperience is a liability for a new manager.","Compare & Comparison,Data & Chart,Problem & Solution",""
"pitfall（潜在陷阱，常用于计划）","劣势","avoid the pitfalls of；the pitfalls of；Before investing, we must consider the pitfalls of the market.","Compare & Comparison,Data & Chart,Problem & Solution",""
"facet（比喻“侧面”，较文学）","方面","every facet of the issue；We should consider every facet of this issue.","Phenomenon & Attitude,Compare & Comparison",""
"aspect（通用）","方面","every aspect of；in many aspects；Technology has changed almost every aspect of our daily life.","Phenomenon & Attitude,Compare & Comparison","例句为补充示例"
"priority","优先","give priority to；top priority；Schools should give priority to students' mental health rather than test scores.","Problem & Solution,Compare & Comparison","例句为补充示例；与 precedence 相比更常用于罗列优先级"
"precedence","优先","take precedence over；Safety takes precedence over convenience in policy making.","Problem & Solution,Compare & Comparison","take precedence over 是“两相取舍”句式，适合建议信/倡议书收尾"
